,time,VAV: Core Zone Discharge Air Temperature,AHU: Outdoor Air Damper Position,VAV Core Zone Cooling SP,Diffuse Horizontal Solar Irradiation,VAV: North zone Q,VAV North Zone Heating SP,VAV: North Zone Reheat Control Signal,VAV: South Zone Room Air Temperature,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,VAV North Zone Cooling SP,VAV: North Zone Airflow Rate,VAV: Core Zone Reheat Control Signal,AHU: Supply Air Temperature,Direct Normal Solar Irradiation,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV: North Zone Damper Control Signal,VAV: Core zone Q,AHU: Supply Fan Power,AHU: RAT,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: South Zone Airflow Rate,VAV: North Zone Room Air Temperature,AHU: Return Air Damper Position,VAV South Zone Heating SP,VAV Core Zone Heating SP,VAV: South zone Q,VAV: Core Zone Room Air Temperature,AHU: Supply Fan Airflow Rate,VAV: Core Zone Damper Control Signal,AHU: MAT,VAV South Zone Cooling SP,VAV: North Zone Discharge Air Temperature,Global Horizontal Solar Irradiation,Outdoor Air Temperature
44,19186560.0,55.039867,1.0,80.06002,0.2926,55.466915,60.08001,0.0,63.72824,0.0,0.2625,80.06002,69.499344,0.0,52.535973,0.3963,598.4893,598.4893,0.3,55.466915,35.86213,64.970795,55.039867,69.499344,108.98728,66.088104,0.0,60.08001,60.08001,86.98264,66.07063,364.55188,0.3,55.8322,80.06002,55.039867,0.48936,55.83204
46,19186680.0,55.039867,1.0,80.06002,0.2872,55.572147,60.08001,0.0,63.642876,0.0,0.2625,80.06002,69.49935,0.0,52.531197,0.3936,597.82574,597.82574,0.3,55.572147,35.862133,64.90965,55.039867,69.49935,108.9873,66.04498,0.0,60.08001,60.08001,87.14761,66.03048,364.55194,0.3,55.826214,80.06002,55.039867,0.48319408,55.825996
49,19186800.0,55.039867,1.0,80.06002,0.28055555,55.670967,60.08001,0.0,63.60624,0.0,0.2625,80.06002,69.49935,0.0,52.526745,0.39027777,597.052,597.052,0.3,55.670967,35.862133,64.883286,55.039867,69.49935,108.9873,66.02844,0.0,60.08001,60.08001,87.30253,66.015976,364.55194,0.3,55.82017,80.06002,55.039867,0.47592592,55.820007
50,19186920.0,55.039867,1.0,80.06002,0.2728,55.764446,60.08001,0.0,63.522903,0.0,0.2625,80.06002,69.49937,0.0,52.522514,0.3864,596.1677,596.1677,0.3,55.764446,35.862137,64.82358,55.039925,69.49937,108.987305,65.98626,0.0,60.08001,60.08001,87.44909,65.97676,364.55197,0.3,55.814186,80.06002,55.039867,0.46768,55.81402
52,19187040.0,55.039867,1.0,80.06002,0.26406667,55.853565,60.08001,0.0,63.488464,0.0,0.2625,80.06002,69.49937,0.0,52.518505,0.38203335,595.1716,595.1716,0.3,55.853565,35.862137,64.79864,55.039925,69.49937,108.987305,65.97044,0.0,60.08001,60.08001,87.588806,65.96297,364.55197,0.3,55.808197,80.06002,55.039867,0.45858073,55.80803
54,19187100.0,55.039867,1.0,80.06002,0.259375,55.896767,60.08001,0.0,63.447098,0.0,0.2625,80.06002,69.49937,0.0,52.516525,0.3796875,594.631,594.631,0.3,55.896767,35.86214,64.76936,55.039925,69.49937,108.987305,65.94918,0.0,60.08001,60.08001,87.65654,65.94281,364.55197,0.3,55.805176,80.06002,55.039867,0.45375,55.805008
57,19187160.0,55.039867,1.0,80.06002,0.2544889,55.939205,60.08001,0.0,63.406998,0.0,0.2625,80.06002,69.499374,0.0,52.514603,0.37724444,594.06165,594.06165,0.3,55.939205,35.86214,64.740295,55.039925,69.499374,108.98732,65.929016,0.0,60.08001,60.08001,87.723076,65.92462,364.552,0.3,55.802208,80.06002,55.039867,0.44875258,55.801987
58,19187280.0,55.039925,1.0,80.06002,0.2442,56.022175,60.08001,0.0,63.374645,0.0,0.2625,80.06002,69.499374,0.0,52.51087,0.3721,592.8354,592.8354,0.3,56.022175,35.86214,64.716675,55.039925,69.499374,108.98732,65.91391,0.0,60.08001,60.08001,87.853165,65.911606,364.552,0.3,55.79622,80.06002,55.039925,0.43832,55.796
60,19187400.0,55.039925,1.0,80.06002,0.23333333,56.10321,60.08001,0.0,63.294994,0.0,0.2625,80.06002,69.499374,0.0,52.507244,0.36666667,591.48975,591.48975,0.3,56.10321,35.862144,64.65961,55.039925,69.499374,108.98733,65.87332,0.0,60.08001,60.08001,87.98022,65.874084,364.55203,0.3,55.790176,80.06002,55.039925,0.4274074,55.790016
62,19187520.0,55.039925,1.0,80.06002,0.22202222,56.182972,60.08001,0.0,63.264565,0.0,0.2625,80.06002,69.499374,0.0,52.503616,0.36101112,590.02094,590.02094,0.3,56.182972,35.862144,64.6373,55.039925,69.499374,108.98733,65.85887,0.0,60.08001,60.08001,88.105286,65.861725,364.55203,0.3,55.78419,80.06002,55.039925,0.41613925,55.784027
