datetime,Unnamed: 0,time,VAV: Core Zone Discharge Air Temperature,AHU: Outdoor Air Damper Position,VAV Core Zone Cooling SP,VAV: North zone Q,VAV North Zone Heating SP,VAV: North Zone Reheat Control Signal,VAV: South Zone Room Air Temperature,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,VAV North Zone Cooling SP,VAV: North Zone Airflow Rate,VAV: Core Zone Reheat Control Signal,AHU: Supply Air Temperature,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV: North Zone Damper Control Signal,VAV: Core zone Q,AHU: Supply Fan Power,AHU: RAT,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: South Zone Airflow Rate,VAV: North Zone Room Air Temperature,AHU: Return Air Damper Position,VAV South Zone Heating SP,VAV Core Zone Heating SP,VAV: South zone Q,VAV: Core Zone Room Air Temperature,AHU: Supply Fan Airflow Rate,VAV: Core Zone Damper Control Signal,AHU: MAT,VAV South Zone Cooling SP,VAV: North Zone Discharge Air Temperature,Outdoor Air Temperature,datetime
2021-08-11 06:30:00,418,19204080.0,70.887314,1.0,77.0,468.94696,66.91998,0.4656843,65.94286,0.83609164,0.75823516,77.0,69.429436,0.39157698,53.088753,1358.5682,1358.5682,0.3,394.2764,88.72164,65.63332,75.88846,69.429436,305.70386,64.510956,0.0,66.91998,66.91998,2221.915,64.6902,653.5773,0.3,58.27408,77.0,74.26001,58.274353,2021-08-11 06:43:00
2021-08-11 06:45:00,438,19205040.0,74.98006,1.0,77.0,639.5241,66.91998,0.55980104,67.04699,0.79824185,0.7024067,77.0,87.41062,0.48101553,52.85716,1441.7091,1441.7091,0.3837214,489.8699,87.56171,66.51866,75.98239,69.433495,284.4602,65.09115,0.0,66.91998,66.91998,2096.8926,65.20062,648.786,0.3,58.395477,77.0,75.80936,58.39564,2021-08-11 06:59:00
2021-08-11 07:00:00,460,19205880.0,75.85155,1.0,77.0,765.8718,66.91998,0.6116767,67.6814,0.73883575,0.61478275,77.0,103.78854,0.53213483,52.68742,1469.3546,1469.3546,0.45634735,583.1322,84.60758,66.96459,76.02782,78.97808,250.06435,65.61861,0.0,66.91998,66.91998,1860.3937,65.66777,636.32623,0.34498876,58.454967,77.0,75.837975,58.455025,2021-08-11 07:13:00
2021-08-11 07:15:00,486,19206840.0,78.65822,1.0,73.94003,1544.7275,69.98001,0.90625083,69.161804,0.8991345,0.85122335,73.94003,194.31921,0.8285003,53.707832,2014.0792,2014.0792,0.86875117,1354.47,234.9015,68.146286,78.854,170.25757,341.9931,66.954704,0.0,69.98001,69.98001,2742.061,66.95113,1038.936,0.7599004,58.18921,73.94003,78.63949,58.188385,2021-08-11 07:29:00
2021-08-11 07:30:00,509,19207680.0,78.819885,1.0,73.94003,1709.2861,69.98001,0.96272403,70.29971,0.84716713,0.77457154,73.94003,212.59958,0.886946,53.268814,2098.8403,2098.8403,0.94781363,1541.2344,244.86296,69.20778,79.06949,189.1977,312.99344,68.178696,0.0,69.98001,69.98001,2574.6,68.15496,1051.0331,0.84172446,57.552002,73.94003,78.48815,57.550903,2021-08-11 07:43:00
2021-08-11 07:45:00,528,19208640.0,78.94255,1.0,73.94003,1736.4927,69.98001,0.9761384,71.140884,0.75482947,0.63837343,73.94003,217.30736,0.8962915,52.709393,2040.1625,2040.1625,0.96659374,1611.7533,212.40057,70.08383,79.15958,192.73882,259.91577,69.2626,0.0,69.98001,69.98001,2191.4895,69.30699,985.0851,0.8548081,56.839096,73.94003,77.77756,56.83833,2021-08-11 07:59:00
2021-08-11 08:00:00,550,19209480.0,79.03247,1.0,73.94003,1726.6536,69.98001,0.9539242,71.55468,0.65986943,0.4983074,73.94003,210.71275,0.86729014,52.345085,1945.6967,1945.6967,0.9354939,1565.3253,166.2321,70.605896,79.193146,184.02283,204.60345,69.98446,0.0,69.98001,69.98001,1750.8596,70.08059,881.20166,0.8142062,56.634476,73.94003,78.05359,56.634644,2021-08-11 08:13:00
2021-08-11 08:15:00,570,19210440.0,79.13893,1.0,73.94003,1616.3029,69.98001,0.8739898,71.978424,0.5292936,0.30570808,73.94003,186.74715,0.786241,51.92244,1797.0402,1797.0402,0.8235858,1383.8672,104.21593,71.241455,79.224014,159.54593,128.74414,70.91198,0.0,69.98001,69.98001,1120.184,70.9462,698.39276,0.7007374,56.996258,73.94003,79.07988,56.99714,2021-08-11 08:29:00
2021-08-11 08:30:00,592,19211280.0,79.21001,1.0,73.94003,1355.3127,69.98001,0.7705245,72.14844,0.41070735,0.2625,73.94003,155.11763,0.6883065,51.80873,1644.993,1644.993,0.6787343,1130.9019,72.79314,71.73474,74.26418,129.51015,109.047844,71.57825,0.0,69.98001,69.98001,779.3412,71.523094,578.75336,0.5636291,57.512726,73.94003,79.22621,57.514206,2021-08-11 08:43:00
2021-08-11 08:45:00,613,19212240.0,79.2283,1.0,73.94003,985.0517,69.98001,0.6318175,72.07126,0.28840107,0.2625,73.94003,112.24057,0.5607745,51.724358,1455.1132,1455.1132,0.48454455,788.56934,50.213142,72.04346,67.53851,89.970955,109.108444,72.089165,0.0,69.98001,69.98001,548.95404,71.94222,457.66583,0.38508433,58.277264,73.94003,79.264496,58.279625,2021-08-11 08:59:00
