,time,AHU: MAT,AHU: RAT,VAV: Core Zone Discharge Air Temperature,VAV: North Zone Discharge Air Temperature,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: North Zone Airflow Rate,VAV: South Zone Airflow Rate,Outdoor Air Temperature,AHU: Supply Air Temperature,AHU: Outdoor Air Damper Position,AHU: Return Air Damper Position,VAV: Core Zone Room Air Temperature,VAV Core Zone Cooling SP,VAV: Core Zone Reheat Control Signal,VAV: Core Zone Damper Control Signal,VAV: North Zone Room Air Temperature,VAV North Zone Cooling SP,VAV: North Zone Reheat Control Signal,VAV: North Zone Damper Control Signal,VAV: South Zone Room Air Temperature,VAV South Zone Cooling SP,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV:Core zone Q,AHU: Supply Fan Power,AHU: Supply Fan Airflow Rate,VAV:North zone Q,VAV:South zone Q,faulty
80,19188360.0,55.78161,62.449814,55.007515,55.007515,55.007458,69.50161,69.50161,108.99128,55.782158,55.007515,1.0,0.0,64.28036,299.85,0.0,0.3,63.97796,299.85,0.0,0.3,60.332146,299.85,0.0,0.2625,199.61487,199.61487,0.0,70.947136,364.5636,0.0,0.0,0
83,19188480.0,55.805176,62.620377,55.01515,55.01515,55.01509,69.501595,69.501595,108.99126,55.805946,55.01509,1.0,0.0,64.38495,299.85,0.0,0.3,64.08276,299.85,0.0,0.3,60.6129,299.85,0.0,0.2625,200.3254,200.3254,0.0,70.94713,364.56357,0.0,0.0,0
84,19188600.0,55.836044,62.40565,55.02476,55.02476,55.02476,69.501595,69.501595,108.99125,55.837036,55.02476,1.0,0.0,64.250916,299.85,0.0,0.3,63.93956,299.85,0.0,0.3,60.2765,299.85,0.0,0.2625,201.8212,201.8212,0.0,70.94712,364.56354,0.0,0.0,0
86,19188720.0,55.873672,62.577477,55.036022,55.036022,55.036022,69.50158,69.50158,108.99123,55.87483,55.036022,1.0,0.0,64.35655,299.85,0.0,0.3,64.04558,299.85,0.0,0.3,60.559288,299.85,0.0,0.2625,204.08809,204.08809,0.0,70.9471,364.56345,0.0,0.0,0
88,19188840.0,55.91751,62.364067,55.048492,55.048492,55.04844,69.50157,69.50157,108.99121,55.91883,55.048492,1.0,0.0,64.22328,299.85,0.0,0.3,63.9032,299.85,0.0,0.3,60.22569,299.85,0.0,0.2625,207.10518,207.10518,0.0,70.94709,364.56342,0.0,0.0,0
91,19188900.0,55.94157,62.455254,55.055084,55.055084,55.05503,69.501564,69.501564,108.9912,55.942944,55.055084,1.0,0.0,64.288376,299.85,0.0,0.3,63.96412,299.85,0.0,0.3,60.382027,299.85,0.0,0.2625,208.88687,208.88687,0.0,70.94708,364.56342,0.0,0.0,0
92,19188960.0,55.967003,62.5371,55.06184,55.06184,55.061783,69.501564,69.501564,108.991196,55.968487,55.06184,1.0,0.0,64.32991,299.85,0.0,0.3,64.010315,299.85,0.0,0.3,60.510567,299.85,0.0,0.2625,210.84557,210.84557,0.0,70.947075,364.5634,0.0,0.0,0
94,19189080.0,56.021553,62.324844,55.075737,55.075737,55.075684,69.50156,69.50156,108.991196,56.0232,55.075684,1.0,0.0,64.197136,299.85,0.0,0.3,63.86859,299.85,0.0,0.3,60.17988,299.85,0.0,0.2625,215.27661,215.27661,0.0,70.947075,364.56332,0.0,0.0,0
96,19189200.0,56.08071,62.499092,55.089855,55.089855,55.089798,69.50156,69.50156,108.99118,56.08247,55.089798,1.0,0.0,64.30453,299.85,0.0,0.3,63.976753,299.85,0.0,0.3,60.466675,299.85,0.0,0.2625,220.36041,220.36041,0.0,70.94707,364.56332,0.0,0.0,0
99,19189320.0,56.143883,62.28804,55.103973,55.103973,55.10392,69.50156,69.50156,108.991196,56.145752,55.10392,1.0,0.0,64.17198,299.85,0.0,0.3,63.83552,299.85,0.0,0.3,60.138565,299.85,0.0,0.2625,226.05421,226.05421,0.0,70.94707,364.56332,0.0,0.0,0
101,19189440.0,56.210518,62.463547,55.11787,55.11787,55.117813,69.501564,69.501564,108.991196,56.212494,55.117813,1.0,0.0,64.28008,299.85,0.0,0.3,63.94456,299.85,0.0,0.3,60.427013,299.85,0.0,0.2625,232.31079,232.31079,0.0,70.94707,364.5634,0.0,0.0,0
102,19189500.0,56.24501,62.35341,55.12468,55.12468,55.124626,69.50157,69.50157,108.99121,56.246933,55.124626,1.0,0.0,64.20175,299.85,0.0,0.3,63.866394,299.85,0.0,0.3,60.24986,299.85,0.0,0.2625,235.6342,235.6342,0.0,70.947075,364.56342,0.0,0.0,0
104,19189560.0,56.280113,62.253548,55.13133,55.13133,55.13127,69.50157,69.50157,108.99122,56.28209,55.13133,1.0,0.0,64.147644,299.85,0.0,0.3,63.803497,299.85,0.0,0.3,60.10127,299.85,0.0007102157,0.2625,239.07875,239.07875,0.0,70.94708,364.56342,0.0,0.0,0
106,19189680.0,56.35202,62.430153,55.14418,55.14418,55.144127,69.50158,69.50158,108.991234,56.354107,55.14418,1.0,0.0,64.25619,299.85,0.0,0.3,63.913307,299.85,0.0,0.3,60.39109,299.85,0.0,0.2625,246.303,246.303,0.0,70.94709,364.56345,0.0,0.0,0
108,19189800.0,56.425793,62.22097,55.156265,55.156265,55.156265,69.5016,69.5016,108.991264,56.42788,55.156265,1.0,0.0,64.12375,299.85,0.0,0.3,63.77235,299.85,0.0,0.3,60.06732,299.85,0.002361626,0.2625,253.92497,253.92497,0.0,70.94711,364.56357,0.0,0.0,0
110,19189920.0,56.50083,62.39851,55.167526,55.167526,55.167526,69.50162,69.50162,108.99129,56.50297,55.167526,1.0,0.0,64.23268,299.85,0.0,0.3,63.882706,299.85,0.0,0.3,60.358185,299.85,0.0,0.2625,261.93323,261.93323,0.0,70.947136,364.56366,0.0,0.0,0
112,19190040.0,56.57658,62.190044,55.178627,55.178627,55.17857,69.50165,69.50165,108.99134,56.578777,55.178627,1.0,0.0,64.10007,299.85,0.0,0.3,63.7417,299.85,0.0,0.3,60.036064,299.85,0.003936901,0.2625,270.41873,270.41873,0.0,70.94717,364.56375,0.0,0.0,0
114,19190100.0,56.614594,62.283813,55.1839,55.1839,55.183846,69.501656,69.501656,108.991356,56.616737,55.183846,1.0,0.0,64.166595,299.85,0.0,0.3,63.804543,299.85,0.0,0.3,60.195694,299.85,0.0,0.2625,274.76627,274.76627,0.0,70.947174,364.56384,0.0,0.0,0
117,19190160.0,56.65255,62.368298,55.188843,55.188843,55.18879,69.50166,69.50166,108.99137,56.654694,55.188843,1.0,0.0,64.209335,299.85,0.0,0.3,63.85255,299.85,0.0,0.3,60.32775,299.85,0.0,0.2625,279.16678,279.16678,0.0,70.94719,364.56387,0.0,0.0,0
118,19190280.0,56.728134,62.16038,55.197796,55.197796,55.19774,69.50169,69.50169,108.991425,56.730278,55.197796,1.0,0.0,64.07656,299.85,0.0,0.3,63.711433,299.85,0.0,0.3,60.00712,299.85,0.0054794643,0.2625,288.08765,288.08765,0.0,70.94723,364.56403,0.0,0.0,0
120,19190400.0,56.80284,62.339184,55.20543,55.20543,55.20543,69.50171,69.50171,108.991455,56.80493,55.20543,1.0,0.0,64.186035,299.85,0.0,0.3,63.822613,299.85,0.0,0.3,60.299297,299.85,0.0,0.2625,297.10382,297.10382,0.0,70.94725,364.56412,0.0,0.0,0
122,19190520.0,56.876015,62.131542,55.21164,55.21164,55.21164,69.50174,69.50174,108.99151,56.878098,55.21164,1.0,0.0,64.05299,299.85,0.0,0.3,63.681274,299.85,0.0,0.3,59.979652,299.85,0.0070443973,0.2625,306.1365,306.1365,0.0,70.94729,364.56427,0.0,0.0,0
125,19190640.0,56.947258,62.31073,55.216415,55.216415,55.216415,69.50176,69.50176,108.99155,56.949234,55.216415,1.0,0.0,64.162476,299.85,0.0,0.3,63.792675,299.85,0.0,0.3,60.27205,299.85,0.0,0.2625,315.10492,315.10492,0.0,70.94732,364.5644,0.0,0.0,0
126,19190700.0,56.98192,62.20213,55.21823,55.21823,55.21823,69.50177,69.50177,108.99157,56.9839,55.21823,1.0,0.0,64.08365,299.85,0.0,0.3,63.714233,299.85,0.0,0.3,60.098633,299.85,0.00039135508,0.2625,319.53928,319.53928,0.0,70.947334,364.56445,0.0,0.0,0
128,19190760.0,57.015923,62.10331,55.219658,55.219658,55.219658,69.501785,69.501785,108.99159,57.017845,55.219658,1.0,0.0,64.0291,299.85,0.0,0.3,63.65095,299.85,0.0,0.3,59.95301,299.85,0.008687745,0.2625,323.9265,323.9265,0.0,70.94735,364.56454,0.0,0.0,0
130,19190880.0,57.08146,62.28266,55.22136,55.22136,55.221306,69.5018,69.5018,108.99162,57.083267,55.22136,1.0,0.0,64.13858,299.85,0.0,0.3,63.76252,299.85,0.0,0.3,60.2453,299.85,0.0,0.2625,332.51724,332.51724,0.0,70.94738,364.5646,0.0,0.0,0
132,19191000.0,57.143417,62.075294,55.221416,55.221416,55.221416,69.50182,69.50182,108.99166,57.145123,55.221416,1.0,0.0,64.00476,299.85,0.0,0.3,63.6203,299.85,0.0,0.3,59.926586,299.85,0.010465557,0.2625,340.79187,340.79187,0.0,70.94741,364.56473,0.0,0.0,0
134,19191120.0,57.201096,62.254753,55.21988,55.21988,55.219933,69.50184,69.50184,108.991684,57.20269,55.21988,1.0,0.0,64.11419,299.85,0.0,0.3,63.731865,299.85,0.0,0.3,60.218437,299.85,0.0,0.2625,348.6641,348.6641,0.0,70.947426,364.56482,0.0,0.0,0
137,19191240.0,57.254105,62.047386,55.216747,55.216747,55.216747,69.501854,69.501854,108.991714,57.255535,55.216747,1.0,0.0,63.98005,299.85,0.0,0.3,63.58921,299.85,0.0,0.3,59.89978,299.85,0.0124445055,0.2625,356.0469,356.0469,0.0,70.94745,364.56488,0.0,0.0,0
138,19191300.0,57.278664,62.141815,55.214493,55.214493,55.21455,69.501854,69.501854,108.991714,57.27998,55.21455,1.0,0.0,64.04674,299.85,0.0,0.3,63.652435,299.85,0.0,0.3,60.059082,299.85,0.003957738,0.2625,359.5274,359.5274,0.0,70.94745,364.56488,0.0,0.0,0
140,19191360.0,57.30179,62.22679,55.211914,55.211914,55.211914,69.501854,69.501854,108.991714,57.30305,55.211914,1.0,0.0,64.089355,299.85,0.0,0.3,63.70072,299.85,0.0,0.3,60.191025,299.85,0.0,0.2625,362.8527,362.8527,0.0,70.94746,364.56488,0.0,0.0,0
142,19191480.0,57.343643,62.019207,55.205376,55.205376,55.20543,69.50188,69.50188,108.99174,57.34474,55.205376,1.0,0.0,63.954834,299.85,0.0,0.3,63.55751,299.85,0.0,0.3,59.87204,299.85,0.014709122,0.2625,368.99362,368.99362,0.0,70.94747,364.56497,0.0,0.0,0
144,19191600.0,57.379074,62.198284,55.19719,55.19719,55.19719,69.50186,69.50186,108.99173,57.380013,55.19719,1.0,0.0,64.06404,299.85,0.0,0.3,63.66886,299.85,0.0,0.3,60.16246,299.85,0.0,0.2625,374.38174,374.38174,0.0,70.94747,364.56497,0.0,0.0,0
