Minutes,datetime,"Control_Status
1 - off
2 - cool
3 - heat","System_Mode
1 - off
2 - auto
3 - cool
4 - heat","Reversing_Valve_Status
0 - heating
1 - cooling",Room_Temperature [F],Ebtron_Return_Air_Temp [F],Ebtron_Supply_Air_Temp [F],Outside_Air_Temp [F],Ebtron_Supply_Airflow [CFM],Ebtron_Return_Airflow [CFM],PRB-ActivePower28 [W],PRB-ActivePower42 [W],Total Power [W]
57,44261.27,3,2,0,65.3,65.85,59.8,41,335.69,257.01,52.82600947,36.51238347,89.33839295
58,44261.27,3,2,0,65.3,65.85,59.79,41.1,327.49,256.81,52.56695758,35.95161828,88.51857587
59,44261.27,3,2,0,65.3,65.85,59.79,41.2,333.39,256.5,52.63773682,36.03008369,88.66782051
60,44261.27,3,2,0,65.3,65.88,59.79,41.2,336.05,256.25,52.88178339,36.19878341,89.0805668
61,44261.27,3,2,0,65.3,65.84,59.8,41.3,336.93,255.84,52.84134805,36.54445613,89.38580418
62,44261.27,3,2,0,65.3,65.83,59.84,41.4,335.81,258.65,53.69625158,36.60320195,90.29945353
63,44261.28,3,2,0,65.1,65.85,59.86,41.4,333.33,255.74,52.50076964,36.15277626,88.6535459
64,44261.28,3,2,0,65.1,65.83,59.83,41.4,335.75,261.06,52.13167943,35.37615034,87.50782977
65,44261.28,3,2,0,65.1,65.81,59.88,41.5,338.47,258.7,53.11568837,35.96075153,89.0764399
66,44261.28,3,2,0,65.1,65.84,59.85,41.5,343.72,256.86,52.73464473,35.87939099,88.61403572
67,44261.28,3,2,0,65.1,65.81,59.86,41.6,333.27,258.91,53.06968576,35.38669067,88.45637642
68,44261.28,3,2,0,65.1,65.83,59.84,41.4,342.01,256.86,53.12382277,36.37758309,89.50140587
69,44261.28,3,2,0,65,65.82,59.82,41.2,337.17,259.73,52.65034389,35.99234647,88.64269036
70,44261.28,3,2,0,65,65.79,59.81,41,343.6,251.69,52.62622229,35.62042854,88.24665083
71,44261.28,3,2,0,65.1,65.81,59.7,40.8,340.94,252.97,53.0931572,36.71783468,89.81099187
72,44261.28,3,2,0,65.1,65.82,59.7,41,342.95,253.08,52.90667101,35.46089517,88.36756617
73,44261.28,3,2,0,65,65.83,59.64,41.2,332.21,251.59,52.57510612,35.70003716,88.27514327
74,44261.28,3,2,0,64.9,65.81,59.61,41.2,335.4,253.08,52.311131,35.13402318,87.44515418
75,44261.28,3,2,0,64.9,65.8,59.62,41.3,339.65,252.41,52.38541878,35.55653129,87.94195007
76,44261.28,3,2,0,64.9,65.82,59.63,41.4,339.76,251.69,53.32586268,35.70956841,89.03543109
77,44261.28,3,2,0,64.9,65.81,59.6,41.4,338.52,255.07,52.88608957,35.53752406,88.42361362
78,44261.29,3,2,0,64.8,65.81,59.61,41.5,338.7,250.42,51.83169736,35.36094803,87.19264538
79,44261.29,3,2,0,64.8,65.81,59.59,41.6,336.64,252.82,52.58503337,35.41881182,88.00384519
80,44261.29,3,2,0,64.8,65.79,59.57,41.6,335.16,252.46,52.83728667,35.33039905,88.16768572
81,44261.29,3,2,0,64.8,65.8,59.58,41.5,341.89,252.05,52.06124768,35.83852653,87.89977422
82,44261.29,3,2,0,64.8,65.79,59.52,41.4,338.82,253.33,52.81119215,35.68560463,88.49679678
83,44261.29,3,2,0,64.8,65.78,59.51,41.3,338.82,250.93,52.93933808,35.51622451,88.45556259
84,44261.29,3,2,0,64.8,65.78,59.5,41.2,336.87,252.36,53.36953223,35.40661072,88.77614295
85,44261.29,3,2,0,64.8,65.79,59.49,41.2,338.88,250.31,52.45098506,35.50475091,87.95573597
86,44261.29,3,2,0,64.8,65.78,59.49,41.3,334.27,254.97,52.67731149,35.86580511,88.5431166
87,44261.29,3,2,0,64.8,65.8,59.46,41.3,343.9,248.83,53.36382006,35.9037439,89.26756396
88,44261.29,3,2,0,64.8,65.8,59.44,41.3,335.4,250.88,53.23980659,35.48849449,88.72830108
89,44261.29,3,2,0,64.8,65.8,59.42,41.3,337.76,251.64,52.55045012,36.40494314,88.95539326
90,44261.29,3,2,0,64.8,65.83,59.42,41.2,334.45,251.75,53.28989646,35.96767242,89.25756887
91,44261.29,3,2,0,64.8,65.84,59.44,41.3,342.6,250.67,53.08064714,35.64247606,88.7231232
92,44261.30,3,2,0,64.8,65.84,59.41,41.4,331.74,255.68,52.86912573,35.55384269,88.42296842
93,44261.30,3,2,0,64.9,65.85,59.46,41.5,336.81,250.67,52.54953187,35.11967905,87.66921092
94,44261.30,3,2,0,64.9,65.88,59.46,41.4,336.46,248.11,52.34068221,35.55703662,87.89771882
95,44261.30,3,2,0,64.9,65.89,59.47,41.5,335.51,247.7,53.05037938,36.22462314,89.27500252
96,44261.30,3,2,0,64.9,65.88,59.48,41.6,339.11,252.51,53.18203988,36.50276529,89.68480517
97,44261.30,3,2,0,64.8,65.89,59.53,41.7,332.74,251.29,52.88425948,36.12391046,89.00816993
98,44261.30,3,2,0,64.8,65.88,59.54,41.7,342.24,248.73,53.52694033,35.4586169,88.98555723
99,44261.30,3,2,0,64.8,65.92,59.57,41.8,342.18,251.85,52.690204,35.70664995,88.39685395
100,44261.30,3,2,0,64.8,65.91,59.59,41.9,330.5,253.02,52.64188583,36.57634662,89.21823245
101,44261.30,3,2,0,64.8,65.95,59.63,42,341.95,255.33,52.78937725,35.39405143,88.18342868
102,44261.30,3,2,0,64.8,65.94,59.64,41.9,338.47,250.72,53.33482629,36.29939782,89.63422411
103,44261.30,3,2,0,64.8,65.92,59.62,41.8,336.93,253.13,52.86374034,35.90517294,88.76891328
104,44261.30,3,2,0,64.8,65.92,59.66,41.8,336.4,251.08,53.01686965,36.581816,89.59868565
105,44261.30,3,2,0,64.8,65.94,59.64,41.8,338.47,253.02,53.22045173,36.28179096,89.50224268
106,44261.30,3,2,0,64.8,65.95,59.66,41.8,339,250.57,53.63290993,36.08172917,89.71463909
107,44261.31,3,2,0,64.8,65.95,59.64,41.8,337.46,250.88,52.36900179,36.70159891,89.0706007
108,44261.31,3,2,0,64.8,65.96,59.63,41.9,335.99,250.93,53.02237761,36.54863231,89.57100992
109,44261.31,3,2,0,64.9,65.95,59.65,42,334.22,251.08,53.28240777,36.26981003,89.5522178
110,44261.31,3,2,0,64.9,65.96,59.66,42,346.32,249.9,53.47353724,35.92291243,89.39644967
111,44261.31,3,2,0,64.9,65.97,59.67,42,337.88,253.69,53.39360497,36.40044672,89.79405168
112,44261.31,3,2,0,64.9,65.97,59.7,42,338.58,252.26,53.1347936,35.82066195,88.95545555
113,44261.31,3,2,0,64.9,66,59.72,42,336.05,250.72,52.90397167,36.21057013,89.1145418
114,44261.31,3,2,0,64.9,66.03,59.78,42.2,332.98,251.54,53.19238737,36.43623675,89.62862412
115,44261.31,3,2,0,64.9,66.02,59.88,42.7,340.06,252.46,52.90908643,36.36173482,89.27082125
116,44261.31,3,2,0,64.9,66.07,59.95,43.4,333.57,251.69,53.9033619,36.11484545,90.01820735
117,44261.31,3,2,0,64.9,66.08,60.08,44,333.15,252.97,53.28558805,35.86432086,89.14990891
118,44261.31,3,2,0,64.9,66.14,60.18,44.5,331.8,250.26,53.4470294,36.32038481,89.76741421
119,44261.31,3,2,0,64.9,66.17,60.25,44.7,339.17,251.44,52.91810057,36.16677194,89.08487251
120,44261.31,3,2,0,65.2,66.2,60.33,44.9,335.28,254.2,53.22964019,35.78163137,89.01127157
121,44261.32,3,2,0,65.1,66.23,60.44,45.1,341.42,248.83,52.49958026,35.55964148,88.05922173
122,44261.32,3,2,0,65.1,66.27,60.52,45,335.4,251.13,52.95956343,36.69853568,89.6580991
123,44261.32,3,2,0,65.2,66.33,60.63,45.3,336.22,252.15,52.94550552,35.79994807,88.74545358
124,44261.32,3,2,0,65.2,66.38,60.72,45.7,336.75,251.39,480.7734441,381.4463485,862.2197926
125,44261.32,3,2,0,65.1,66.43,60.82,45.7,340.94,252.87,985.7332417,914.5257701,1900.259012
126,44261.32,3,2,0,65.2,66.47,66.8,45.6,299.39,243.92,1140.898807,1033.079853,2173.97866
127,44261.32,3,2,0,65.2,66.52,75.45,45.6,267.75,238.04,1237.022022,1103.381993,2340.404014
128,44261.32,3,2,0,65.2,66.57,81.04,45.8,256.3,231.85,955.4961005,844.6003719,1800.096472
129,44261.32,3,2,0,65.2,66.71,86.16,45.8,257.24,227.34,51.91893884,36.03180607,87.95074492
